id,moveId,moveName,power,pp,accuracy,priority,targetName,createdAt,updatedAt
1,1,pound,40,35,100,0,selected-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
2,2,karate-chop,50,25,100,0,selected-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
3,3,double-slap,15,10,85,0,selected-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
4,4,comet-punch,18,15,85,0,selected-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
5,5,mega-punch,80,20,85,0,selected-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
6,6,pay-day,40,20,100,0,selected-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
7,7,fire-punch,75,15,100,0,selected-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
8,8,ice-punch,75,15,100,0,selected-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
9,9,thunder-punch,75,15,100,0,selected-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
10,10,scratch,40,35,100,0,selected-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
11,11,vice-grip,55,30,100,0,selected-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
12,12,guillotine,,5,30,0,selected-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
13,13,razor-wind,80,10,100,0,all-opponents,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
14,14,swords-dance,,20,,0,user,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
15,15,cut,50,30,95,0,selected-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
16,16,gust,40,35,100,0,selected-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
17,17,wing-attack,60,35,100,0,selected-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
18,18,whirlwind,,20,,-6,selected-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
19,19,fly,90,15,95,0,selected-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
20,20,bind,15,20,85,0,selected-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
21,21,slam,80,20,75,0,selected-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
22,22,vine-whip,45,25,100,0,selected-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
23,23,stomp,65,20,100,0,selected-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
24,24,double-kick,30,30,100,0,selected-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
25,25,mega-kick,120,5,75,0,selected-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
26,26,jump-kick,100,10,95,0,selected-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
27,27,rolling-kick,60,15,85,0,selected-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
28,28,sand-attack,,15,100,0,selected-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
29,29,headbutt,70,15,100,0,selected-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
30,30,horn-attack,65,25,100,0,selected-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
31,31,fury-attack,15,20,85,0,selected-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
32,32,horn-drill,,5,30,0,selected-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
33,33,tackle,40,35,100,0,selected-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
34,34,body-slam,85,15,100,0,selected-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
35,35,wrap,15,20,90,0,selected-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
36,36,take-down,90,20,85,0,selected-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
37,37,thrash,120,10,100,0,random-opponent,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
38,38,double-edge,120,15,100,0,selected-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
39,39,tail-whip,,30,100,0,all-opponents,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
40,40,poison-sting,15,35,100,0,selected-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
41,41,twineedle,25,20,100,0,selected-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
42,42,pin-missile,25,20,95,0,selected-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
43,43,leer,,30,100,0,all-opponents,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
44,44,bite,60,25,100,0,selected-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
45,45,growl,,40,100,0,all-opponents,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
46,46,roar,,20,,-6,selected-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
47,47,sing,,15,55,0,selected-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
48,48,supersonic,,20,55,0,selected-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
49,49,sonic-boom,,20,90,0,selected-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
50,50,disable,,20,100,0,selected-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
51,51,acid,40,30,100,0,all-opponents,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
52,52,ember,40,25,100,0,selected-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
53,53,flamethrower,90,15,100,0,selected-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
54,54,mist,,30,,0,users-field,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
55,55,water-gun,40,25,100,0,selected-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
56,56,hydro-pump,110,5,80,0,selected-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
57,57,surf,90,15,100,0,all-other-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
58,58,ice-beam,90,10,100,0,selected-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
59,59,blizzard,110,5,70,0,all-opponents,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
60,60,psybeam,65,20,100,0,selected-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
61,61,bubble-beam,65,20,100,0,selected-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
62,62,aurora-beam,65,20,100,0,selected-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
63,63,hyper-beam,150,5,90,0,selected-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
64,64,peck,35,35,100,0,selected-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
65,65,drill-peck,80,20,100,0,selected-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
66,66,submission,80,20,80,0,selected-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
67,67,low-kick,,20,100,0,selected-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
68,68,counter,,20,100,-5,specific-move,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
69,69,seismic-toss,,20,100,0,selected-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
70,70,strength,80,15,100,0,selected-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
71,71,absorb,20,25,100,0,selected-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
72,72,mega-drain,40,15,100,0,selected-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
73,73,leech-seed,,10,90,0,selected-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
74,74,growth,,20,,0,user,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
75,75,razor-leaf,55,25,95,0,all-opponents,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
76,76,solar-beam,120,10,100,0,selected-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
77,77,poison-powder,,35,75,0,selected-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
78,78,stun-spore,,30,75,0,selected-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
79,79,sleep-powder,,15,75,0,selected-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
80,80,petal-dance,120,10,100,0,random-opponent,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
81,81,string-shot,,40,95,0,all-opponents,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
82,82,dragon-rage,,10,100,0,selected-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
83,83,fire-spin,35,15,85,0,selected-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
84,84,thunder-shock,40,30,100,0,selected-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
85,85,thunderbolt,90,15,100,0,selected-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
86,86,thunder-wave,,20,90,0,selected-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
87,87,thunder,110,10,70,0,selected-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
88,88,rock-throw,50,15,90,0,selected-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
89,89,earthquake,100,10,100,0,all-other-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
90,90,fissure,,5,30,0,selected-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
91,91,dig,80,10,100,0,selected-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
92,92,toxic,,10,90,0,selected-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
93,93,confusion,50,25,100,0,selected-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
94,94,psychic,90,10,100,0,selected-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
95,95,hypnosis,,20,60,0,selected-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
96,96,meditate,,40,,0,user,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
97,97,agility,,30,,0,user,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
98,98,quick-attack,40,30,100,1,selected-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
99,99,rage,20,20,100,0,selected-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
100,100,teleport,,20,,-6,user,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
101,101,night-shade,,15,100,0,selected-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
102,102,mimic,,10,,0,selected-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
103,103,screech,,40,85,0,selected-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
104,104,double-team,,15,,0,user,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
105,105,recover,,10,,0,user,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
106,106,harden,,30,,0,user,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
107,107,minimize,,10,,0,user,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
108,108,smokescreen,,20,100,0,selected-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
109,109,confuse-ray,,10,100,0,selected-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
110,110,withdraw,,40,,0,user,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
111,111,defense-curl,,40,,0,user,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
112,112,barrier,,20,,0,user,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
113,113,light-screen,,30,,0,users-field,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
114,114,haze,,30,,0,entire-field,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
115,115,reflect,,20,,0,users-field,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
116,116,focus-energy,,30,,0,user,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
117,117,bide,,10,,1,user,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
118,118,metronome,,10,,0,user,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
119,119,mirror-move,,20,,0,selected-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
120,120,self-destruct,200,5,100,0,all-other-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
121,121,egg-bomb,100,10,75,0,selected-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
122,122,lick,30,30,100,0,selected-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
123,123,smog,30,20,70,0,selected-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
124,124,sludge,65,20,100,0,selected-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
125,125,bone-club,65,20,85,0,selected-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
126,126,fire-blast,110,5,85,0,selected-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
127,127,waterfall,80,15,100,0,selected-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
128,128,clamp,35,15,85,0,selected-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
129,129,swift,60,20,,0,all-opponents,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
130,130,skull-bash,130,10,100,0,selected-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
131,131,spike-cannon,20,15,100,0,selected-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
132,132,constrict,10,35,100,0,selected-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
133,133,amnesia,,20,,0,user,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
134,134,kinesis,,15,80,0,selected-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
135,135,soft-boiled,,10,,0,user,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
136,136,high-jump-kick,130,10,90,0,selected-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
137,137,glare,,30,100,0,selected-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
138,138,dream-eater,100,15,100,0,selected-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
139,139,poison-gas,,40,90,0,all-opponents,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
140,140,barrage,15,20,85,0,selected-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
141,141,leech-life,80,10,100,0,selected-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
142,142,lovely-kiss,,10,75,0,selected-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
143,143,sky-attack,140,5,90,0,selected-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
144,144,transform,,10,,0,selected-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
145,145,bubble,40,30,100,0,all-opponents,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
146,146,dizzy-punch,70,10,100,0,selected-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
147,147,spore,,15,100,0,selected-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
148,148,flash,,20,100,0,selected-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
149,149,psywave,,15,100,0,selected-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
150,150,splash,,40,,0,user,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
151,151,acid-armor,,20,,0,user,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
152,152,crabhammer,100,10,90,0,selected-pokemon,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
