statsId,pokemonId,statName,baseStat,effort,createdAt,updatedAt
1,1,hp,45,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
2,1,attack,49,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
3,1,defense,49,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
4,1,special-attack,65,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
5,1,special-defense,65,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
6,1,speed,45,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
7,2,hp,60,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
8,2,attack,62,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
9,2,defense,63,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
10,2,special-attack,80,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
11,2,special-defense,80,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
12,2,speed,60,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
13,3,hp,80,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
14,3,attack,82,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
15,3,defense,83,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
16,3,special-attack,100,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
17,3,special-defense,100,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
18,3,speed,80,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
19,4,hp,39,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
20,4,attack,52,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
21,4,defense,43,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
22,4,special-attack,60,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
23,4,special-defense,50,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
24,4,speed,65,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
25,5,hp,58,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
26,5,attack,64,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
27,5,defense,58,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
28,5,special-attack,80,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
29,5,special-defense,65,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
30,5,speed,80,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
31,6,hp,78,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
32,6,attack,84,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
33,6,defense,78,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
34,6,special-attack,109,3,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
35,6,special-defense,85,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
36,6,speed,100,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
37,7,hp,44,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
38,7,attack,48,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
39,7,defense,65,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
40,7,special-attack,50,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
41,7,special-defense,64,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
42,7,speed,43,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
43,8,hp,59,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
44,8,attack,63,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
45,8,defense,80,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
46,8,special-attack,65,0,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
