typesId,pokemonId,typeName,slot,createdAt,updatedAt
1,1,grass,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
2,1,poison,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
3,2,grass,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
4,2,poison,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
5,3,grass,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
6,3,poison,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
7,4,fire,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
8,5,fire,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
9,6,fire,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
10,6,flying,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
11,7,water,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
12,8,water,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
13,9,water,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
14,10,bug,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
15,11,bug,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
16,12,bug,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
17,12,flying,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
18,13,bug,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
19,13,poison,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
20,14,bug,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
21,14,poison,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
22,15,bug,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
23,15,poison,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
24,16,normal,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
25,16,flying,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
26,17,normal,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
27,17,flying,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
28,18,normal,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
29,18,flying,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
30,19,normal,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
31,20,normal,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
32,21,normal,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
33,21,flying,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
34,22,normal,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
35,22,flying,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
36,23,poison,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
37,24,poison,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
38,25,electric,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
39,26,electric,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
40,27,ground,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
41,28,ground,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
42,29,poison,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
43,30,poison,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
44,31,poison,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
45,31,ground,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
46,32,poison,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
47,33,poison,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
48,34,poison,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
49,34,ground,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
50,35,fairy,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
51,36,fairy,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
52,37,fire,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
53,38,fire,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
54,39,normal,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
55,39,fairy,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
56,40,normal,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
57,40,fairy,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
58,41,poison,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
59,41,flying,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
60,42,poison,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
61,42,flying,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
62,43,grass,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
63,43,poison,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
64,44,grass,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
65,44,poison,2,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
66,45,grass,1,2021-09-29 11:07:04.04-04,2021-09-29 11:07:04.04-04
